,Ano,Mes,Dia,Hora,Min,Temperatura
0,2024,1,19,0,0,"26,755001"
1,2024,1,19,1,0,"26,662"
2,2024,1,19,2,0,"26,504"
3,2024,1,19,3,0,"26,264"
4,2024,1,19,4,0,"26,353"
5,2024,1,19,5,0,"26,284"
6,2024,1,19,6,0,"26,036001"
7,2024,1,19,7,0,"26,255001"
8,2024,1,19,8,0,"27,006"
9,2024,1,19,9,0,"28,283"
10,2024,1,19,10,0,"29,478"
11,2024,1,19,11,0,"30,461"
12,2024,1,19,12,0,"30,970001"
13,2024,1,19,13,0,"31,355"
14,2024,1,19,14,0,"31,153"
15,2024,1,19,15,0,"30,808"
16,2024,1,19,16,0,"30,323"
17,2024,1,19,17,0,"29,970001"
18,2024,1,19,18,0,"29,108"
19,2024,1,19,19,0,"28,184"
20,2024,1,19,20,0,"27,56"
21,2024,1,19,21,0,"27,265999"
22,2024,1,19,22,0,"27,07"
23,2024,1,19,23,0,"26,772001"
24,2024,1,20,0,0,"26,656"
25,2024,1,20,1,0,"26,542"
26,2024,1,20,2,0,"26,308"
27,2024,1,20,3,0,"26,175001"
28,2024,1,20,4,0,"26,191"
29,2024,1,20,5,0,"26,158"
30,2024,1,20,6,0,"25,986"
31,2024,1,20,7,0,"26,49"
32,2024,1,20,8,0,"26,907"
33,2024,1,20,9,0,"27,906"
34,2024,1,20,10,0,"28,833"
35,2024,1,20,11,0,"29,861"
36,2024,1,20,12,0,"30,073"
37,2024,1,20,13,0,"30,23"
38,2024,1,20,14,0,"30,439"
39,2024,1,20,15,0,"30,42"
40,2024,1,20,16,0,"29,967"
41,2024,1,20,17,0,"29,667"
42,2024,1,20,18,0,"28,752"
43,2024,1,20,19,0,"27,744"
44,2024,1,20,20,0,"27,142"
45,2024,1,20,21,0,"26,727999"
46,2024,1,20,22,0,"26,567001"
47,2024,1,20,23,0,"26,532"
48,2024,1,21,0,0,"26,401"
49,2024,1,21,1,0,"26,26"
50,2024,1,21,2,0,"26,1"
51,2024,1,21,3,0,"25,987"
52,2024,1,21,4,0,"25,807"
53,2024,1,21,5,0,"25,692001"
54,2024,1,21,6,0,"25,625"
55,2024,1,21,7,0,"25,659"
56,2024,1,21,8,0,"25,836"
57,2024,1,21,9,0,"26,219"
58,2024,1,21,10,0,"26,673"
59,2024,1,21,11,0,"26,874"
60,2024,1,21,12,0,"26,880001"
61,2024,1,21,13,0,"27,095"
62,2024,1,21,14,0,"27,035"
63,2024,1,21,15,0,"27,231998"
64,2024,1,21,16,0,"27,433"
65,2024,1,21,17,0,"27,706"
66,2024,1,21,18,0,"27,655998"
67,2024,1,21,19,0,"27,490002"
68,2024,1,21,20,0,"27,014"
69,2024,1,21,21,0,"26,818"
70,2024,1,21,22,0,"26,59"
71,2024,1,21,23,0,"26,431"
72,2024,1,22,0,0,"26,227"
73,2024,1,22,1,0,"26,046001"
74,2024,1,22,2,0,"25,861"
75,2024,1,22,3,0,"25,663"
76,2024,1,22,4,0,"25,468"
77,2024,1,22,5,0,"25,346"
78,2024,1,22,6,0,"25,28"
79,2024,1,22,7,0,"25,407"
80,2024,1,22,8,0,"25,763"
81,2024,1,22,9,0,"26,154"
82,2024,1,22,10,0,"26,222"
83,2024,1,22,11,0,"26,370998"
84,2024,1,22,12,0,"26,632"
85,2024,1,22,13,0,"27,069"
86,2024,1,22,14,0,"27,116"
87,2024,1,22,15,0,"27,015999"
88,2024,1,22,16,0,"26,987999"
89,2024,1,22,17,0,"26,997"
90,2024,1,22,18,0,"26,978"
91,2024,1,22,19,0,"26,796001"
92,2024,1,22,20,0,"26,327"
93,2024,1,22,21,0,"26,083"
94,2024,1,22,22,0,"26,03"
95,2024,1,22,23,0,"25,881"
96,2024,1,23,0,0,"25,813"
97,2024,1,23,1,0,"25,682"
98,2024,1,23,2,0,"25,571"
99,2024,1,23,3,0,"25,444"
100,2024,1,23,4,0,"25,315"
101,2024,1,23,5,0,"25,151"
102,2024,1,23,6,0,"25,053001"
103,2024,1,23,7,0,"25,163"
104,2024,1,23,8,0,"25,829"
105,2024,1,23,9,0,"26,345001"
106,2024,1,23,10,0,"26,675"
107,2024,1,23,11,0,"26,794"
108,2024,1,23,12,0,"27,141"
109,2024,1,23,13,0,"27,109999"
110,2024,1,23,14,0,"27,406"
111,2024,1,23,15,0,"27,454"
112,2024,1,23,16,0,"27,411999"
113,2024,1,23,17,0,"27,126999"
114,2024,1,23,18,0,"26,93"
115,2024,1,23,19,0,"26,734"
116,2024,1,23,20,0,"26,484001"
117,2024,1,23,21,0,"26,269001"
118,2024,1,23,22,0,"26,183"
119,2024,1,23,23,0,"26,199"
120,2024,1,24,0,0,"26,114"
121,2024,1,24,1,0,"25,961"
122,2024,1,24,2,0,"25,674"
123,2024,1,24,3,0,"25,498001"
124,2024,1,24,4,0,"24,289"
125,2024,1,24,5,0,"24,306"
126,2024,1,24,6,0,"23,96"
127,2024,1,24,7,0,"24,256"
128,2024,1,24,8,0,"25,234"
129,2024,1,24,9,0,"26,366001"
130,2024,1,24,10,0,"27,766"
131,2024,1,24,11,0,"28,237999"
132,2024,1,24,12,0,"30,112"
133,2024,1,24,13,0,"29,063"
134,2024,1,24,14,0,"29,65"
135,2024,1,24,15,0,"30,882"
136,2024,1,24,16,0,"29,226"
137,2024,1,24,17,0,"28,281"
138,2024,1,24,18,0,"28,53"
139,2024,1,24,19,0,"27,362999"
140,2024,1,24,20,0,"26,29"
141,2024,1,24,21,0,"26,27"
142,2024,1,24,22,0,"25,467001"
143,2024,1,24,23,0,"25,311"
144,2024,1,25,0,0,"26,049"
145,2024,1,25,1,0,"24,865"
146,2024,1,25,2,0,"25,050999"
147,2024,1,25,3,0,"25,132"
148,2024,1,25,4,0,"24,759"
149,2024,1,25,5,0,"24,666"
150,2024,1,25,6,0,"24,480999"
151,2024,1,25,7,0,"25,001001"
152,2024,1,25,8,0,"25,732"
153,2024,1,25,9,0,"27,467999"
154,2024,1,25,10,0,"28,282"
155,2024,1,25,11,0,"29,195"
156,2024,1,25,12,0,"30,605999"
157,2024,1,25,13,0,"30,028"
158,2024,1,25,14,0,"29,577"
159,2024,1,25,15,0,"30,456"
160,2024,1,25,16,0,"29,65"
161,2024,1,25,17,0,"28,875"
162,2024,1,25,18,0,"28,649"
163,2024,1,25,19,0,"27,451"
164,2024,1,25,20,0,"26,499"
165,2024,1,25,21,0,"26,605"
166,2024,1,25,22,0,"25,882"
167,2024,1,25,23,0,"25,673"
168,2024,1,26,0,0,"25,252"
169,2024,1,26,1,0,"24,566"
170,2024,1,26,2,0,"24,823"
171,2024,1,26,3,0,"24,378"
172,2024,1,26,4,0,"24,708"
173,2024,1,26,5,0,"24,651001"
174,2024,1,26,6,0,"24,331999"
175,2024,1,26,7,0,"25,313"
176,2024,1,26,8,0,"26,063"
177,2024,1,26,9,0,"27,431"
178,2024,1,26,10,0,"28,147999"
179,2024,1,26,11,0,"28,862999"
180,2024,1,26,12,0,"30,792002"
181,2024,1,26,13,0,"29,411"
182,2024,1,26,14,0,29
183,2024,1,26,15,0,"29,401"
184,2024,1,26,16,0,"29,549"
185,2024,1,26,17,0,"28,853"
186,2024,1,26,18,0,"29,126"
187,2024,1,26,19,0,"27,453999"
188,2024,1,26,20,0,"26,585"
189,2024,1,26,21,0,"26,572"
190,2024,1,26,22,0,"26,074001"
191,2024,1,26,23,0,"25,867"
